																		
NO	AC	FLIGHT N0	ROUTE	STD	STA	BLOCK	TAT	FREQ	FROM	TO								
NEW	14-A320	VJ1197	HAN-SGN	2:15	4:25	2:10	1:50	1234567	10/Jun	26/Oct								
																		
																		
13	15-A320	VJ120	SGN-HAN	6:00	8:10	2:10	0:30	1234567	31/Mar	26/Oct								
13	15-A320	VJ127	HAN-SGN	8:40	10:50	2:10	0:30	1234567	31/Mar	26/Oct								
13	15-A320	VJ860	SGN-ICN	12:20	19:25	5:05	2:00	3467	31/Mar	26/Oct								
13	15-A320	VJ861	ICN-SGN	21:25	0:40	5:15	0:30	3467	31/Mar	26/Oct								
13	15-A320	VJ860	SGN-ICN	12:20	19:25	5:05	1:50	125	31/Mar	26/Oct								
13	15-A320	VJ861	ICN-SGN	21:15	0:30	5:15	0:30	125	31/Mar	26/Oct								
																		
																		
																		
																		
14	17-A320	VJ321	SGN-PQC	5:40	6:40	1:00	0:25	1234567	31/Mar	26/Oct								
14	17-A320	VJ322	PQC-SGN	7:05	8:10	1:05	0:30	1234567	31/Mar	26/Oct								
14	17-A320	VJ825	SGN-KUL	9:30	12:35	1:55	1:00	1234567	31/Mar	26/Oct								
14	17-A320	VJ826	KUL-SGN	13:35	14:20	1:55	0:40	1234567	31/Mar	26/Oct								
14	17-A320	VJ632	SGN-DAD	15:00	16:20	1:20	0:25	1234567	31/Mar	26/Oct								
14	17-A320	VJ633	DAD-SGN	16:45	18:10	1:25	0:30	1234567	31/Mar	26/Oct								
14	17-A320	VJ166	SGN-HAN	18:40	20:50	2:10	1:00	1234567	31/Mar	26/Oct								
14	17-A320	VJ165	HAN-SGN	21:50	0:00	2:10	1:00	1234567	31/Mar	26/Oct								
																		
																		
15	18-A321	VJ435	HAN-UIH	6:05	7:40	1:35	0:25	1234567	31/Mar	26/Oct								
15	18-A321	VJ436	UIH-HAN	8:05	9:45	1:40	0:30	1234567	31/Mar	26/Oct								
15	18-A321	VJ505	HAN-DAD	10:15	11:35	1:20	0:25	1234567	31/Mar	26/Oct								
15	18-A321	VJ512	DAD-HAN	12:00	13:20	1:20	0:40	1234567	31/Mar	26/Oct								
15	18-A321	VJ513	HAN-DAD	14:00	15:20	1:20	0:25	1234567	31/Mar	26/Oct								
